game_name,sales_millions,developer,release_year
Minecraft,350.0,Mojang Studios,2011.0
Grand Theft Auto V,215.0,Rockstar North,2013.0
Wii Sports[a],82.0,Nintendo EAD,2006.0
Mario Kart 8/Deluxe,77.0,Nintendo EAD/Nintendo EPD(Deluxe),2014.0
Red Dead Redemption 2,77.0,Rockstar Games,2018.0
PUBG: Battlegrounds,75.0,PUBG Studios,2017.0
The Oregon Trail[d],65.0,Don RawitschBill HeinemannPaul Dillenberger,1971.0
Terraria,64.0,Re-Logic,2011.0
The Witcher 3: Wild Hunt,60.0,CD Projekt Red,2015.0
Super Mario Bros.,58.0,Nintendo R&D4,1985.0
Human: Fall Flat,55.0,No Brakes Games,2016.0
Overwatch,50.0,Blizzard Entertainment,2016.0
Animal Crossing: New Horizons,48.0,Nintendo EPD,2020.0
Pokémon Red / Blue / Yellow,47.0,Game Freak,1996.0
Wii Fit/Plus,43.0,Nintendo EAD,2007.0
Call of Duty: Black Ops III,43.0,Treyarch,2015.0
Call of Duty: Modern Warfare,41.0,Infinity Ward,2019.0
Payday 2,40.0,Overkill Software,2013.0
Mario Kart Wii,37.0,Nintendo EAD,2008.0
Super Smash Bros. Ultimate,36.0,Bandai Namco Studios/Sora Ltd.,2018.0
Tetris(Game Boy),35.0,Nintendo R&D1,1989.0
The Legend of Zelda: Breath of the Wild,34.0,Nintendo EPD,2017.0
Hogwarts Legacy,34.0,Avalanche Software,2023.0
Wii Sports Resort,33.0,Nintendo EAD,2009.0
New Super Mario Bros.,30.0,Nintendo EAD,2006.0
New Super Mario Bros. Wii,30.0,Nintendo EAD,2009.0
Pokémon Gold / Silver/Crystal,30.0,Game Freak,1999.0
Elden Ring,30.0,FromSoftware,2022.0
Super Mario Odyssey,29.0,Nintendo EPD,2017.0
Monster Hunter: World,28.0,Capcom,2018.0
Duck Hunt,28.0,Nintendo R&D1,1984.0
Wii Play,28.0,Nintendo EAD,2006.0
Black Myth: Wukong,28.0,Game Science,2024.0
